Feedstuff,As fed (% DM),TDN (%),NEI,NEm Mcal/lb. ,NEg,CP(%),EE(%),CF(%),ADF(%),Ash(%),Ca(%),P(%),K(%),Mg(%)
Acorns,70,47,0.47,0.43,0.1,4.8,5.4,13.9,17,1.7,,,,
"Acorns , white oak",50,46.8,0.47,0.43,0.09,3.7,5.3,2.2,3,1.9,,,,
"Alder leaves , sun - cured",85,47.8,0.48,0.49,0.11,22,6,17,21,5.9,,,,
Alfalfa seed screenings,90,86,0.9,0.94,0.63,34.4,10.9,12.3,15,5.6,-,,,-
Alfileria,20,55.4,0.56,0.54,0.22,14.2,4.6,23.6,30,8.6,1.76,0.46,,-
"Almond hulls , 13 % CF",90,55,0.56,0.53,0.24,2.1,3,15,28,6.6,0.23,0.11,,-
"Almond hulls , 15 % CF",90,52,0.52,0.49,0.19,2,3,17,32,6.6,0.23,0.11,,-
"Almond hulls and shells , 20 % CF",90,45,0.44,0.4,0.08,1.7,2.2,22,41,9.9,0.22,0.11,,-
"Apple pomace , dried",89,69,0.71,0.73,0.45,4.9,5.1,17,26,2.2,0.13,0.12,0.48,0.07
Apple pulp silage,21.4,74,0.77,0.78,0.47,7.8,6.3,20.6,26,4.9,0.1,0.1,,===
Apples,17,70,0.72,0.72,0.44,2.8,2.2,7.3,9,2.2,0.06,0.6,0.78,0.29
"Apricots , dried",90,77.1,0.8,0.83,0.51,,,0,0,-,,,,
"Artichoke , aerial part",27,60,0.61,0.59,0.28,5.1,1.1,18,23,7.7,1.62,0.11,1.36,-
Artichoke silage,30,48,0.48,0.43,0.11,7.2,1.7,27.3,34,18.5,,-,,
Artichoke tubers,20,77,0.8,0.81,0.51,9.8,0.5,3.9,5,4.9,-,0.29,2,
"Asparagus butts , dried",91,49,0.49,0.45,0.13,15.6,1,31.9,40,7.7,,,,
"Aspen leaves , sun - cured",85,48.9,0.49,0.46,0.12,17.2,5.4,24.5,31,9.1,-,,,
Avocado oil meal,91,50,0.5,0.46,0.13,20.3,1.2,19.3,24,12.4,-,,,-
Avocado seeds,41,90,0.95,0.99,0.68,4.9,3.8,5.9,7,,0.04,0.2,1.26,-
Avocado skins,24,90,0.95,1,0.69,6.9,34.9,24.5,31,-,0.11,0.18,1.82,-
"Babassu meal , mech - extd",91,75.7,0.79,0.81,0.49,21.8,6.5,16.1,20,5.1,0.2,1,,0.97
"Babassu meal , solv - extd",82.7,66.4,0.68,0.68,0.37,21.3,2.5,19,24,6.8,0.13,0.71,-,0.97
"Bahiagrass hay , mature , sun - cured",90.8,55.9,0.57,0.55,0.22,4.7,1.6,33.6,42,5.9,0.45,0.19,1.45,0.25
"Bakery waste , dried",92,89,0.94,1,0.69,10.7,12.7,1.3,13,4.4,0.14,0.26,0.53,0.26
"Banana skins , dried , ground",88,59.3,0.6,0.59,0.27,7.7,8.1,8.6,11,10.5,-,,,
Bananas,24.3,84.1,0.88,0.92,0.61,4.5,0.8,2.1,3,3.3,0.03,0.11,,
"Bananas , dried",86,74,0.77,0.77,0.49,4.1,0.6,1.2,2,3,0.03,0.11,1.52,-
"Barley , pearl , byproduct",89.6,75.5,0.78,0.8,0.49,14.7,3.9,11.9,15,5.7,0.05,0.46,,
"Barley , sprouted 5 days",13.2,70,0.72,0.73,0.42,18.1,5.2,19.7,25,4.1,,,,
Barley bran,91,59,0.6,0.57,0.29,12.5,4.3,21.3,27,7,,,,-
Barley distillers dried grains,92,69,0.71,0.7,0.43,30.1,12.6,11,14,2,,,,
Barley malt sprouts,94,71,0.74,0.76,0.48,28,1.4,16,18,7,0.23,0.75,0.23,0.2
Barley middlings,89,68,0.7,0.69,0.42,16.3,5,10.4,13,4.8,,,,
Barley mill run,90,70,0.72,0.71,0.44,11.7,2.8,15.7,20,4.6,-,,-,
Barley screenings,89,66,0.68,0.67,0.39,11.6,2.7,9.1,11,3.5,0.46,0.32,1.38,0.14
Barley straw,91,49,0.49,0.42,0.24,4.3,1.9,42,59,7.1,0.3,0.07,2.39,0.23
"Bean hulls , velvet",86.8,58.3,0.59,0.58,0.26,13.4,2.2,28.2,35,7,-,,,
"Bean pods , broad , dried , ground",92.5,63.4,0.65,0.65,0.33,16.6,1.1,17.8,22,7.3,-,-,,
"Bean pods , broad , sun - cured",91.8,52,0.52,0.5,0.17,7.7,1.1,37.9,47,4.2,0.85,0.11,-,
"Bean pods , carob",83.9,73.6,0.76,0.78,0.47,5.7,1.7,9.5,12,4.2,,,,
"Bean pods , lima",28.2,55.7 *,0.56 *,0.54 *,0.22 *,7.2,1.9,38.6,48,-,,,,
"Bean pods , velvet",88.6,60.4,0.62,0.61,0.29,5.2,0.9,31.6,40,7.9,-,,,-
"Bean pods w / seeds , carob",87.7,79,0.82,0.85,0.54,6.3,3,9.9,12,2.8,,,,-
"Bean pods w / seeds , mesquite , dried",91.5,63.1 *,0.65 *,0.64 *,0.32 *,11.5,1.7,20.1,25,4.6,-,,,-
"Bean pods w / seeds , velvet",88.7,59.1,0.6,0.59,0.27,19.4,4.8,14.5,18,5.3,0.27,0.42,1.35,0.24
Bean straw,90,51,0.51,0.49,0.12,6.8,1.5,44.5,56,8.2,1.85,0.14,1.14,0.13
"Bean straw , broad",89.1,48.7,0.49,0.45,0.12,6.8,1.6,45,56,8.3,1.87,0.15,,
"Bean straw , green",89,51,0.51,0.47,0.15,20.5,1.7,24,30,14.5,1.44,0.27,,-
"Bean straw , kidney",86,55,0.56,0.53,0.22,9.9,1.6,34.7,43,10.4,-,,,
"Bean straw , lima",90,58,0.59,0.57,0.25,7.6,1.8,31,39,8.2,0.1,0.41,1.88,0.2
Bean straw meal,92.1,44.1 *,0.44,0.39 *,0.05 *,7.7,1.5,39.6,50,11.8,,,,
"Bean straw meal , lima",88.8,51.3 *,0.52 *,0.49 *,0.16 *,11.3,2.4,31.4,39,9.3,-,,,
"Beans , algaroba",85.4,62.4 *,0.64,* 0.63 *,0.31 *,10.8,2.4,22.4,28,4.1,,,,
"Beans , blackeye",91.5,74.0 *,0.77,* 0.78 *,0.47 *,23.4,1.4,3,4,5.2,,,,
"Beans , broad or horse",86,84.1,0.88,0.92,0.61,29.2,1.9,7.7,10,2.4,,,,
"Beans , butter",85.8,73.2 *,0.76,* 0.77 *,0.46 *,21.1,2.1,5.7,7,4.6,,,,
"Beans , cannery residue",9.4,72.5 *,0.75,* 0.76 *,0.45 *,23.5,3,13.5,17,-,,,,
"Beans , carob",81.2,79,0.82,0.85,0.54,6.2,0.4,7.5,9,2.5,,,,
"Beans , carob , ground",87.5,77.5,0.81,0.83,0.52,13,2.1,9.3,12,3.3,0.39,0.09,,
